FlightDate,Reporting_Airline,FlightNum,TailNum,Origin,Dest,CRSDepHour,CRSDepMinute,CRSElapsedTime,Distance,DayOfWeek,Month,Season,DepDelayMinutes,ArrDelayMinutes,IsDelayed15,Cancelled,DelayCause
2023-04-10,B6,3343,N879F,DFW,ATL,6,45,291,2295,0,4,Spring,-6.0,0.0,0.0,0,
2023-12-26,WN,4861,N310A,SEA,PHX,9,15,247,1858,1,12,Winter,-5.0,6.0,0.0,0,
2023-06-01,AS,321,N519G,BOS,DEN,7,0,167,1318,3,6,Summer,-12.0,-9.0,0.0,0,
2023-05-11,B6,1634,N356C,LAX,EWR,7,45,303,2213,3,5,Spring,-6.0,-4.0,0.0,0,
2023-05-30,DL,1793,N241B,DFW,SFO,9,45,49,425,1,5,Spring,-1.0,-6.0,0.0,0,
2023-11-05,NK,4201,N972G,BOS,ORD,4,0,199,1534,6,11,Fall,-1.0,1.0,0.0,0,
2023-09-15,AS,3584,N262D,LAS,DEN,8,30,152,1175,4,9,Fall,3.0,-2.0,0.0,0,
2023-12-10,AA,3531,N150C,ORD,BOS,7,30,57,461,6,12,Winter,-3.0,-19.0,0.0,0,
2023-10-21,AA,5385,N504F,EWR,DEN,8,45,60,356,5,10,Fall,-2.0,-5.0,0.0,0,
2023-07-11,AA,4515,N472A,DEN,ATL,8,30,265,1924,1,7,Summer,2.0,10.0,0.0,0,
2023-10-04,WN,4319,N107E,MIA,SFO,7,15,126,935,2,10,Fall,5.0,3.0,0.0,0,
2023-06-10,WN,3994,N593E,MCO,EWR,7,30,174,1251,5,6,Summer,-5.0,-24.0,0.0,0,
2023-11-10,AS,2286,N192C,DFW,SEA,8,45,143,1050,4,11,Fall,73.0,69.0,1.0,0,Weather
2023-01-22,NK,3753,N786E,PHX,LAX,10,15,264,2026,6,1,Winter,,,,1,
2023-09-10,AS,3462,N368H,DFW,LAS,8,15,319,2453,6,9,Fall,-8.0,-7.0,0.0,0,
2023-08-24,AS,2590,N497E,SFO,ATL,5,45,264,1974,3,8,Summer,,,,1,
2023-12-11,AS,4024,N324D,MIA,EWR,6,0,72,478,0,12,Winter,-6.0,-12.0,0.0,0,
2023-02-18,NK,2136,N741D,LAS,MCO,9,15,143,1034,5,2,Winter,-3.0,-14.0,0.0,0,
2023-02-28,WN,933,N970A,ORD,ATL,7,0,189,1506,1,2,Winter,30.0,27.0,1.0,0,Weather
2023-06-19,DL,3350,N966B,MIA,SFO,8,15,239,1817,0,6,Summer,-1.0,1.0,0.0,0,
2023-07-07,AS,4622,N683A,MIA,SFO,9,45,166,1188,4,7,Summer,-4.0,-5.0,0.0,0,
2023-09-28,UA,3973,N989A,MCO,SFO,9,0,362,2652,3,9,Fall,47.0,32.0,1.0,0,LateAircraft
2023-07-09,AS,4894,N506A,SFO,CLT,9,45,150,1029,6,7,Summer,-6.0,-10.0,0.0,0,
2023-06-24,DL,4404,N422F,LAX,ATL,6,30,287,2258,5,6,Summer,189.0,189.0,1.0,0,Weather
2023-02-20,F9,2032,N186G,EWR,MIA,10,30,140,1114,0,2,Winter,3.0,-9.0,0.0,0,
